Diet ,Type ,M_Disparity,M_Rate ,K_Disparity ,K_Rate 
Bulk invertivore,K40,0.03665045,1.39E-06,0.001523038,3.71E-07
Carnivore,K40,0.03668101,1.10E-06,0.002748803,6.00E-07
Herbivore ,K40,0.0297325,3.93E-07,0.003175345,2.64E-07
 Invertivore ,K40,0.02256082,1.80E-07,0.001854145,1.23E-07
Omnivore ,K40,0.02557547,3.40E-07,0.003124525,3.13E-07
Piscivore,K40,0.05126824,8.33E-07,0.002724545,3.66E-07
Social insectivore,K40,0.01824484,1.56E-07,0.001276024,8.41E-08
Bulk invertivore,K20,0.03665045,1.39E-06,0.003118535,6.89E-07
Carnivore,K20,0.03668101,1.10E-06,0.004896403,1.44E-06
Herbivore ,K20,0.0297325,3.93E-07,0.007124357,6.88E-07
 Invertivore ,K20,0.02256082,1.80E-07,0.004219285,2.42E-07
Omnivore ,K20,0.02557547,3.40E-07,0.005992234,7.35E-07
Piscivore,K20,0.05126824,8.33E-07,0.004354533,6.84E-07
Social insectivore,K20,0.01824484,1.56E-07,0.002025324,1.57E-07
Bulk invertivore,K10,0.03665045,1.39E-06,0.011708533,2.82E-06
Carnivore,K10,0.03668101,1.10E-06,0.013101278,4.90E-06
Herbivore ,K10,0.0297325,3.93E-07,0.018504884,2.31E-06
 Invertivore ,K10,0.02256082,1.80E-07,0.010506145,7.01E-07
Omnivore ,K10,0.02557547,3.40E-07,0.017111746,2.49E-06
Piscivore,K10,0.05126824,8.33E-07,0.012581414,3.08E-06
Social insectivore,K10,0.01824484,1.56E-07,0.005675333,4.83E-07
