Locomotion ,Type ,M_Disparity,M_Rate ,K_Disparity ,K_Rate 
Aquatic,K40,0.06787668,1.46E-06,0.00390834,6.20E-07
Arboreal,K40,0.02123906,2.12E-07,0.003059934,2.61E-07
Fossorial,K40,0.02609852,2.83E-07,0.002423914,1.84E-07
Saxicolous,K40,0.01162143,1.32E-07,0.001385926,1.22E-07
Semi-aquatic ,K40,0.02785233,3.26E-07,0.002050679,2.43E-07
Semi-arboreal,K40,0.01853891,4.80E-07,0.002130071,3.53E-07
Semi-fossorial,K40,0.02021675,1.55E-07,0.001979991,1.20E-07
Terrestrial,K40,0.02455646,4.79E-07,0.002327929,3.16E-07
Volant,K40,0.01667199,1.72E-07,0.001061065,7.97E-08
Aquatic,K20,0.06787668,1.46E-06,0.006945937,1.32E-06
Arboreal,K20,0.02123906,2.12E-07,0.006235764,5.33E-07
Fossorial,K20,0.02609852,2.83E-07,0.00514508,4.08E-07
Saxicolous,K20,0.01162143,1.32E-07,0.002620467,2.18E-07
Semi-aquatic ,K20,0.02785233,3.26E-07,0.005687899,7.05E-07
Semi-arboreal,K20,0.01853891,4.80E-07,0.004684404,1.04E-06
Semi-fossorial,K20,0.02021675,1.55E-07,0.003959261,2.48E-07
Terrestrial,K20,0.02455646,4.79E-07,0.005513791,8.45E-07
Volant,K20,0.01667199,1.72E-07,0.002464841,1.72E-07
Aquatic,K10,0.06787668,1.46E-06,0.018900237,4.71E-06
Arboreal,K10,0.02123906,2.12E-07,0.017809113,1.82E-06
Fossorial,K10,0.02609852,2.83E-07,0.013428404,1.26E-06
Saxicolous,K10,0.01162143,1.32E-07,0.006566917,5.84E-07
Semi-aquatic ,K10,0.02785233,3.26E-07,0.016110211,2.71E-06
Semi-arboreal,K10,0.01853891,4.80E-07,0.014500977,4.24E-06
Semi-fossorial,K10,0.02021675,1.55E-07,0.009797975,6.78E-07
Terrestrial,K10,0.02455646,4.79E-07,0.015216449,2.83E-06
Volant,K10,0.01667199,1.72E-07,0.007120855,5.34E-07
